DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,delta,phenotype
0.5094,0.49680100000000005,0.594638,0.609149,0.499603,$RhoC_amp,22.5,N/A,,WT,WT_Sweep,0.014511000000000052,Normal
0.49960099999999996,0.507001,0.5961919999999999,0.6186349999999999,0.499801,$RhoC_amp,25.0,N/A,,WT,WT_Sweep,0.02244299999999999,Normal
0.5008,0.495399,0.588291,0.622445,0.502999,$RhoC_amp,27.5,N/A,,WT,WT_Sweep,0.03415400000000002,Normal
0.49980100000000005,0.48980100000000004,0.63373,0.53966,0.4933989999999999,$RhoC_mod,1.0,N/A,,WT,WT_Sweep,-0.09406999999999999,Normal
0.48780100000000004,0.506001,0.606363,0.563052,0.49200200000000005,$RhoC_mod,2.0,N/A,,WT,WT_Sweep,-0.04331099999999999,Normal
0.487002,0.503,0.5919909999999999,0.598785,0.4904,$RhoC_mod,3.0,N/A,,WT,WT_Sweep,0.006794000000000078,Normal
0.4996010000000001,0.49480100000000005,0.607388,0.597825,0.49939999999999996,$RhoC_mod,4.0,N/A,,WT,WT_Sweep,-0.009562999999999988,Normal
0.494402,0.48900200000000005,0.5748589999999999,0.622034,0.5066010000000001,$RhoC_mod,5.0,N/A,,WT,WT_Sweep,0.04717500000000008,Normal
0.49279900000000004,0.509797,0.5822299999999999,0.6311509999999999,0.508199,$RhoC_mod,6.0,N/A,,WT,WT_Sweep,0.04892099999999999,Normal
0.49660000000000004,0.498201,0.578512,0.629331,0.500401,$RhoC_mod,7.0,N/A,,WT,WT_Sweep,0.05081899999999995,Normal
0.492199,0.511198,0.6701509999999999,0.433384,0.49019799999999997,$RhoC_basal,0.1,N/A,,WT,WT_Sweep,-0.23676699999999995,Normal
0.5012,0.49460099999999996,0.643949,0.499986,0.490002,$RhoC_basal,0.30000000000000004,N/A,,WT,WT_Sweep,-0.143963,Normal
0.4972,0.503802,0.6096679999999999,0.561624,0.5090009999999999,$RhoC_basal,0.5000000000000001,N/A,,WT,WT_Sweep,-0.048043999999999865,Normal
0.5042000000000001,0.5022,0.600592,0.580713,0.5008,$RhoC_basal,0.7000000000000002,N/A,,WT,WT_Sweep,-0.01987899999999998,Normal
0.507,0.5076010000000001,0.585751,0.611451,0.505,$RhoC_basal,0.9000000000000001,N/A,,WT,WT_Sweep,0.025699999999999945,Normal
0.501997,0.49699799999999994,0.581417,0.637814,0.5041990000000001,$RhoC_basal,1.1,N/A,,WT,WT_Sweep,0.05639700000000003,Normal
0.49400000000000005,0.4989990000000001,0.5700050000000001,0.6472459999999999,0.4934,$RhoC_basal,1.3000000000000003,N/A,,WT,WT_Sweep,0.07724099999999978,Normal
0.512402,0.493,0.5243819999999999,0.76072,0.502602,$RhoC_antagonistic,1.0,N/A,,WT,WT_Sweep,0.23633800000000005,Normal
0.501999,0.495999,0.5530809999999999,0.6713720000000001,0.5061979999999999,$RhoC_antagonistic,2.0,N/A,,WT,WT_Sweep,0.11829100000000015,Normal
0.49260000000000004,0.5014010000000001,0.587065,0.597396,0.499,$RhoC_antagonistic,3.0,N/A,,WT,WT_Sweep,0.01033100000000009,Normal
0.497999,0.5119989999999999,0.6212139999999999,0.544982,0.4909990000000001,$RhoC_antagonistic,4.0,N/A,,WT,WT_Sweep,-0.07623199999999997,Normal
0.49780099999999994,0.500803,0.6412659999999999,0.510796,0.505001,$RhoC_antagonistic,5.0,N/A,,WT,WT_Sweep,-0.13046999999999986,Normal
0.495201,0.501801,0.647073,0.487705,0.498401,$RhoC_antagonistic,6.0,N/A,,WT,WT_Sweep,-0.159368,Normal
0.5,0.489999,0.6708430000000001,0.452248,0.5134000000000001,$RhoC_antagonistic,7.0,N/A,,WT,WT_Sweep,-0.2185950000000001,Normal
0.49519900000000006,0.49939900000000004,0.68186,0.43038199999999993,0.503799,$RhoC_antagonistic,8.0,N/A,,WT,WT_Sweep,-0.2514780000000001,Failed
0.47920000000000007,0.48760000000000003,0.683483,0.41580000000000006,0.49979999999999997,$RhoC_antagonistic,9.0,N/A,,WT,WT_Sweep,-0.2676829999999999,Failed
0.509798,0.4916,0.6966279999999999,0.39673699999999995,0.509,$RhoC_antagonistic,10.0,N/A,,WT,WT_Sweep,-0.29989099999999996,Failed
0.5177989999999999,0.4874,0.723716,0.375435,0.49099999999999994,$RhoC_antagonistic,11.0,N/A,,WT,WT_Sweep,-0.348281,Failed
0.502201,0.489001,0.721134,0.367438,0.502201,$RhoC_antagonistic,12.0,N/A,,WT,WT_Sweep,-0.35369600000000007,Failed
0.4968,0.4960000000000001,0.730921,0.35345800000000005,0.514001,$RhoC_antagonistic,13.0,N/A,,WT,WT_Sweep,-0.377463,Failed
0.496401,0.49400199999999994,0.7337239999999999,0.34065999999999996,0.496401,$RhoC_antagonistic,14.0,N/A,,WT,WT_Sweep,-0.39306399999999997,Failed
0.49680099999999994,0.501401,0.734513,0.33612400000000003,0.48579900000000004,$RhoC_antagonistic,15.0,N/A,,WT,WT_Sweep,-0.39838899999999994,Failed
0.5084,0.503201,0.584522,0.6241309999999999,0.515399,$RhoC_decay,0.05,N/A,,WT,WT_Sweep,0.039608999999999894,Normal
0.5036,0.49820100000000006,0.6007800000000001,0.598163,0.5070000000000001,$RhoC_decay,0.15000000000000002,N/A,,WT,WT_Sweep,-0.0026170000000000915,Normal
0.48779799999999995,0.5061979999999999,0.5882259999999999,0.6026390000000001,0.49779799999999996,$RhoC_decay,0.25000000000000006,N/A,,WT,WT_Sweep,0.014413000000000231,Normal
0.49179999999999996,0.495399,0.5893519999999999,0.5832769999999999,0.503801,$RhoC_decay,0.3500000000000001,N/A,,WT,WT_Sweep,-0.0060749999999999416,Normal
0.5078,0.497601,0.6026380000000001,0.563966,0.49860099999999996,$RhoC_decay,0.45000000000000007,N/A,,WT,WT_Sweep,-0.03867200000000015,Normal
0.49720000000000003,0.5045999999999999,0.60074,0.5563849999999999,0.5042,$RhoC_decay,0.55,N/A,,WT,WT_Sweep,-0.044355000000000144,Normal
0.4938,0.5111990000000001,0.606025,0.5459060000000001,0.497798,$RhoC_decay,0.6500000000000001,N/A,,WT,WT_Sweep,-0.06011899999999992,Normal
0.5139989999999999,0.514601,0.6128739999999999,0.5352990000000001,0.5118,$RhoC_decay,0.7500000000000001,N/A,,WT,WT_Sweep,-0.07757499999999984,Normal
0.5007999999999999,0.491,0.608905,0.524778,0.506601,$RhoC_decay,0.8500000000000002,N/A,,WT,WT_Sweep,-0.08412700000000006,Normal
0.5041990000000001,0.499999,0.611429,0.5246710000000001,0.5111990000000001,$RhoC_decay,0.9500000000000002,N/A,,WT,WT_Sweep,-0.08675799999999989,Normal
